Reference,Experiment Type,Marine/Fresh,Group,Species,Low,Elevated,Type of response,ResponseLow,ResponseAmbientCO2,ResponseElevatedCO2,Secondary nutrient,ResponseElevatedSecondary,ResponseIntereaction,Significance of CO2,HalfSaturationCO2,half saturation unit,HalfSaturationHCO3,CO2 compensation point,compensation point unit,Column1,Carbon Concentration Factor,RubisCO specifity factor,Notes
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,chlorophyte,Dunaliella bioculata ,,,,,,,,,,,0.56,mmol/m3,52.3,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,chlorophyte,Dunaliella tertiolec ,,,,,,,,,,,0.48,mmol/m3,44.8,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,chlorophyte,Dunaliella viridi ,,,,,,,,,,,0.7,mmol/m3,65.3,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,chlorophyte,Dunaliella tertiolect ,,,,,,,,,,,1.35,mmol/m3,39.8,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,ubiquitous,chlorophyte,Stichococcus Bacillaris,,,,,,,,,,,1.5,mmol/m3,300,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,terrestrial,chlorophyte,Stichococcus minor,,,,,,,,,,,9,mmol/m3,1800,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,diatom,Phaeodactylum tricornutum,,,,,,,,,,,0.12,mmol/m3,17.2,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,diatom,Phaeodactylum tricornutum,,,,,,,,,,,0.54,mmol/m3,57,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,diatom,Phaeodactylum tricornutum,,,,,,,,,,,0.53,mmol/m3,16.7,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,diatom,Phaeodactylum tricornutum,,,,,,,,,,,0.12,mmol/m3,9.4,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,diatom,Phaeodactylum tricornutum,,,,,,,,,,,0.075,mmol/m3,70,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,dinoflagellate,Amphidinium carterae,,,,,,,,,,,0.41,mmol/m3,58,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,Eustigmatophyceae,Monallantus sp. ,,,,,,,,,,,0.265,mmol/m3,53,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,ubiquitous,Eustigmatophyceae,Nannochloropsis oculata,,,,,,,,,,,0.63,mmol/m3,126,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,coccolithophore,Emiliania huxley ,,,,,,,,,,,9,mmol/m3,1900,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,marine,coccolithophore,Isochrysis galbana,,,,,,,,,,,0.25,mmol/m3,7.6,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,freshwater,cryptophyte,Chroomonas sp.,,,,,,,,,,,1.28,mmol/m3,39.1,,,,,,
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,chlorophyte,Chlorella pyrenoidosa,,,,,,,,,,,,,,3.175,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,chlorophyte,Chlorella vulgaris,,,,,,,,,,,,,,3.525,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,chlorophyte,Chlorella fusca,,,,,,,,,,,,,,8.55,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,chlorophyte,Chlamydomonas reinhardtii,,,,,,,,,,,,,,13.6,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,chlorophyte,Cladophora glomerata,,,,,,,,,,,,,,12.35,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,chlorophyte,Mougeotia sp.,,,,,,,,,,,,,,18.425,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,chlorophyte,Stigeoclonium sp.,,,,,,,,,,,,,,13.775,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,chlorophyte,Zygnema sp.,,,,,,,,,,,,,,11.825,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,diatom,Asterionella formosa,,,,,,,,,,,,,,12.6,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,diatom,Cyclotella meneghiniana,,,,,,,,,,,,,,10.625,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,diatom,Navicula minima,,,,,,,,,,,,,,18.35,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,diatom,Navicula pelliculosa,,,,,,,,,,,,,,9.2,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
