name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Burkholderiaceae ; Cupriavidus ; Cupriavidus basilensis,0,0,0,0,0,0.210290200476658,0,0,0.45137464095199,0,0.293341155764154,0.0488997555012225,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Xanthomonadales ; Xanthomonadaceae ; Dyella ; Dyella soli,0,0,0,0,0,0,0,3.09563294637922,1.10791957324579,0.129743756081739,5.80815488413024,0.880195599022005,3.08080808080808,22.8199098569469,0,0,4.69744145119805,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Oxalobacteraceae ; Duganella ; Duganella sp,0,0,0,0.0945818132684771,0,0.36450301415954,0.137362637362637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Burkholderiaceae ; Burkholderia ; Burkholderia xenovorans,0,0,0,0,0,0,0,0.0276395798783858,0,0,0.117336462305661,0,0.0303030303030303,0.0195963158926122,0,0.0209731543624161,0.0947610667388656,0.0709052233514536,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Comamonadaceae ; Comamonas ; Comamonas testosteroni,0,0,0,0,0,0.098135426889107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Pseudomonadaceae ; Pseudomonas ; Pseudomonas trivialis,0,0,5.75984380084609,1.39170382380759,0.0263782643102084,12.981915042759,1.82496075353218,0.0276395798783858,6.68855149774312,0.616282841388258,0.645350542681138,1.36919315403423,0,0,0,0,0,0,0,0.581542351453856,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Burkholderiaceae ; Burkholderia ; Burkholderia glumae,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195963158926122,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Neisseriales ; Neisseriaceae ; Aquitalea ; Aquitalea magnusonii,0,0,0,0,0,0.238328893873545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Burkholderiaceae ; Burkholderia ; Burkholderia gladioli,0,0,0,0,0,0,0,0,0,0,0,0,0.0101010101010101,0.0391926317852244,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Enterobacteriales ; Enterobacteriaceae ; Serratia ; Serratia proteamaculans,0,0,0.715912788805728,0,0.0527565286204167,0.0140193466984439,0,5.16860143725815,2.33894132129668,0.0973078170613039,4.63479026107363,0,0,2.96884185773075,5.52955665024631,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Xanthomonadales ; Xanthomonadaceae ; Rhodanobacter ; Rhodanobacter sp,0,0,0,0,0,0,0,0,0,0.0648718780408693,0.205338809034908,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Pseudomonadaceae ; Pseudomonas ; Pseudomonas congelans,0,0,0.0325414904002603,0,0,0.0140193466984439,0.00981161695447409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Oxalobacteraceae ; Herbaspirillum ; Herbaspirillum sp,0,0,0,0.0270233752195649,0,1.8225150707977,0.0784929356357927,0,0.0820681165367254,0,0,0,0,0,5.7512315270936,0,0,0,0,0.0842815002107038,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Pseudomonadaceae ; Pseudomonas ; Pseudomonas syringae,0,0,0.0976244712007811,0.0540467504391298,0,0.322444974064209,0.117739403453689,0.0276395798783858,0.410340582683627,0,0.0586682311528307,0,0,0,0,0,0,0,0.0167532249958117,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Oxalobacteraceae ; Duganella ; Duganella zoogloeoides,0,0,0,0.16214025131739,0,0.392541707556428,0.245290423861852,0,0.533442757488716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Firmicutes ; Bacilli ; Lactobacillales ; Streptococcaceae ; Streptococcus ; Streptococcus mitis,0,0,0,0,0,0,0,0,0,0.194615634122608,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Comamonadaceae ; Comamonas ; Comamonas sp,0,0,0,0.0270233752195649,0,0.0280386933968877,0.0196232339089482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Enterobacteriales ; Enterobacteriaceae ; Pectobacterium ; Pectobacterium carotovorum,0,0,0.0976244712007811,0,0,0.0140193466984439,0,0,0.205170291341814,0,0.0293341155764154,0,0,0,0.0123152709359606,0,0,0,0,0,0,0,0
Bacteria ; Firmicutes ; Bacilli ; Bacillales ; Staphylococcaceae ; Staphylococcus ; Staphylococcus epidermidis,0,0,0,0,0,0,0.0490580847723705,0,0.123102174805088,0.0648718780408693,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Pseudomonadaceae ; Pseudomonas ; Pseudomonas putida,0,0,12.1054344288968,14.1872719902716,76.6024795568451,0.308425627365765,11.3422291993721,0,11.5305703734099,0.259487512163477,0.322675271340569,0.0488997555012225,8.31313131313131,0,0,0,0,0,0,0.00842815002107038,0,0,0.019712201852947
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Oxalobacteraceae ; Massilia ; Massilia timonae,0,0,0,0,0,0.098135426889107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Xanthomonadales ; Xanthomonadaceae ; Dyella ; Dyella sp,0,0,0,0,0.0263782643102084,0,0,1.05030403537866,0.533442757488716,0.291923451183912,1.34936931651511,0.146699266503667,0.818181818181818,7.58377425044092,0,0,3.0323541356437,0,0,0,0,0,0
Bacteria ; Cyanobacteria ; Cyanobacteria (class) ; Oscillatoriales ; Oscillatoriales (family) ; Halomicronema ; Halomicronema metazoicum,0,0.00898069151324652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Comamonadaceae ; Curvibacter ; Curvibacter gracilis,0,0,0,0.0540467504391298,0,0.0280386933968877,0.0392464678178964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Cyanobacteria ; Cyanobacteria (class) ; Oscillatoriales ; Oscillatoriales (family) ; Halomicronema ; Halomicronema excentricum,0,0.017961383026493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Firmicutes ; Bacilli ; Lactobacillales ; Streptococcaceae ; Streptococcus ; Streptococcus sp,0,0,0,0,0,0,0,0,0.820681165367254,0.162179695102173,0.352009386916984,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Burkholderiaceae ; Burkholderia ; Burkholderia ambifaria,0,0,0,0,0,0,0,0,0,0,0,0,0.0202020202020202,0.0195963158926122,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Pseudomonadaceae ; Pseudomonas ; Pseudomonas jessenii,0,0,0.0325414904002603,0.0135116876097825,0,0.0140193466984439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Cyanobacteria ; Cyanobacteria (class) ; Oscillatoriales ; Oscillatoriales (family) ; Geitlerinema ; Geitlerinema sp,0,0.601706331387517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123323570217358,0,0
Bacteria ; Synergistetes ; Synergistia ; Synergistales ; Synergistaceae ; Aminomonas ; Aminomonas sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101385603244339,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Burkholderiaceae ; Burkholderia ; Burkholderia plantarii,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195963158926122,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Thiotrichales ; Piscirickettsiaceae ; Methylophaga ; Methylophaga sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225301340542976,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Enterobacteriales ; Enterobacteriaceae ; Citrobacter ; Citrobacter braakii,0,0,0,0,0,0.0420580400953316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Cyanobacteria ; Cyanobacteria (class) ; Oscillatoriales ; Oscillatoriales (family) ; Pseudoscillatoria ; Pseudoscillatoria coralii,0,0.00898069151324652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Pseudomonadaceae ; Pseudomonas ; Pseudomonas antarctica,0,0,0,0,0.0791347929306251,0.0420580400953316,0.0196232339089482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Enterobacteriales ; Enterobacteriaceae ; Cronobacter ; Cronobacter sakazakii,0,0,0.162707452001302,0,0,0.0140193466984439,0,0.0829187396351575,0.0410340582683627,0,0,0,0,0.0195963158926122,0.123152709359606,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Enterobacteriales ; Enterobacteriaceae ; Buttiauxella ; Buttiauxella noackiae,0,0,0.195248942401562,0,0,0,0.00981161695447409,0,0.246204349610176,0.0324359390204346,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Cyanobacteria ; Cyanobacteria (class) ; Nostocales ; Nostocaceae ; Dolichospermum ; Dolichospermum fallax,0,0.107768298158958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308308925543395,0.0112650670271488,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Pseudomonadaceae ; Pseudomonas ; Pseudomonas lutea,0,0,0,0,0,0,0,0,0,0.194615634122608,0,0,0,0,0,0,0,0,0.871167699782208,0,0,0,0
Bacteria ; Actinobacteria ; Actinobacteria (class) ; Actinomycetales ; Microbacteriaceae ; Leifsonia ; Leifsonia lichenia,0,0,0,0,0,0,0,0.165837479270315,0.287238407878539,0,0.469345849222646,0,0,0.0195963158926122,0,0,0,0,0,0,0,0,0
Bacteria ; Actinobacteria ; Actinobacteria (class) ; Actinomycetales ; Nocardiaceae ; Nocardia ; Nocardia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326686943787316,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Enterobacteriales ; Enterobacteriaceae ; Serratia ; Serratia fonticola,0,0,0,0.364815565464126,0,0.224309547175102,0.608320251177393,0,0,0,0.0586682311528307,0,0,0.0097981579463061,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Pseudomonadaceae ; Pseudomonas ; Pseudomonas synxantha,0,0,0.520663846404166,0.243210376976084,0,0.252348240571989,0.363029827315542,0,0.0410340582683627,0,0,0.0488997555012225,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Neisseriales ; Neisseriaceae ; Aquitalea ; Aquitalea sp,0,0,0,0,0,0.0420580400953316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Rhodocyclales ; Rhodocyclaceae ; Zoogloea ; Zoogloea sp,0,0,0,0.0405350628293474,0,0.098135426889107,0.0294348508634223,0.0552791597567717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Enterobacteriales ; Enterobacteriaceae ; Enterobacter ; Enterobacter sp,0,0,0.292873413602343,0,0.0791347929306251,0.140193466984439,0,0.0276395798783858,0.45137464095199,0.356795329224781,0.176004693458492,0,0,0,0.0369458128078818,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Oxalobacteraceae ; Herbaspirillum ; Herbaspirillum seropedicae,0,0,0,0,0,0.0140193466984439,0,0,0.0820681165367254,0,0,0,0,0,0,0,0,0,0,0.00842815002107038,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Aeromonadales ; Aeromonadaceae ; Aeromonas ; Aeromonas sp,0,0,0,0,0,0.0700967334922193,0,0,0,0,0.088002346729246,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Comamonadaceae ; Malikia ; Malikia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675904021628929,0.256258624088311
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Aeromonadales ; Aeromonadaceae ; Aeromonas ; Aeromonas caviae,0,0,0,0,0,0.294406280667321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Enterobacteriales ; Enterobacteriaceae ; Citrobacter ; Citrobacter freundii,0,0,0,0,0,0.126174120285995,0,0,0,0.0648718780408693,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Enterobacteriales ; Enterobacteriaceae ; Serratia ; Serratia entomophila,0,0,0,0,0,0,0,0,0.984817398440705,0.0973078170613039,1.02669404517454,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Aeromonadales ; Aeromonadaceae ; Aeromonas ; Aeromonas hydrophila,0,0,0,0,0,0.0140193466984439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Aeromonadales ; Aeromonadaceae ; Aeromonas ; Aeromonas punctata,0,0,0,0,0,0.098135426889107,0.00981161695447409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Actinobacteria ; Actinobacteria (class) ; Actinomycetales ; Propionibacteriaceae ; Propionibacterium ; Propionibacterium sp,0,0,0,0,0,0,0,0,0,0.0973078170613039,0.0586682311528307,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Cyanobacteria ; Cyanobacteria (class) ; Prochlorales ; Prochlorococcaceae ; Prochlorococcus ; Prochlorococcus sp,0.0053832902670112,0.0359227660529861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
