id_study,system,y0.n0p0,y0.n1p0,y0.n0p1,y0.n1p1,cat,rn,rp,rnp,rint
HLH556,FRESHWATER,5.99999999999997,4.80000000000002,4.49999999999998,11,c,-0.2231435513142,-0.28768207245178,0.60613580357032,128.333333333333
HLH557,FRESHWATER,11.4999999999999,8.00000000000003,5.50000000000003,9.50000000000005,h,-0.36290549368936,-0.73759894313077,-0.1910552367627,65.2173913043476
HLH558,FRESHWATER,4,5.99999999999997,6.20000000000003,9.00000000000001,e,0.40546510810816,0.43825493093116,0.81093021621633,20.0000000000002
HLH559,FRESHWATER,13.5,13.5,11.4999999999999,13,g,0,-0.16034265007518,-0.0377403279828403,11.1111111111118
HLH560,FRESHWATER,4.80000000000002,5.99999999999997,6.79999999999999,12,b,0.2231435513142,0.34830669426821,0.91629073187415,83.3333333333341
HLH562,FRESHWATER,1.5,2.4,1.5,1.4,h,0.470003629245736,0,-0.068992871486951,-66.6666666666667
HLH563,FRESHWATER,4.49999999999998,6.10000000000003,4,5,g,0.304211374403,-0.11778303565638,0.10536051565783,-13.3333333333344
HLH564,FRESHWATER,10,40.0000000000001,41.0000000000001,44,f,1.38629436111989,1.41098697371026,1.48160454092421,-270.000000000001
HLH565,FRESHWATER,1.6,2.75,2.2,2.75,a,0.541597282432744,0.318453731118534,0.541597282432744,-37.4999999999999
HLH566,FRESHWATER,2.8,2.8,2.1,2.9,g,0,-0.287682072451783,0.03509131981127,28.5714285714287
HLH567,FRESHWATER,3.7,5.69999999999997,4.40000000000002,5.99999999999997,a,0.43213335519032,0.17327172127404,0.48342664957787,-10.8108108108113
HLH568,FRESHWATER,1.7,2.4,1.7,1.85,a,0.34484048629173,0,0.084557388028063,-32.3529411764707
HLH569,FRESHWATER,2.2,2.4,1.2,1.7,h,0.0870113769896299,-0.606135803570315,-0.2578291093021,13.6363636363636
HLH570,FRESHWATER,0.75,1.5,0.78,0.85,h,0.693147180559945,0.0392207131532811,0.125163142954006,-90.6666666666666
HLH571,FRESHWATER,3.59999999999998,3.50000000000001,2.6,2.6,g,-0.0281708769666901,-0.325422400434624,-0.325422400434624,2.77777777777714
HLH572,FRESHWATER,0.9,0.8,0.7,1.25,c,-0.117783035656384,-0.251314428280906,0.328504066972036,72.2222222222222
HLH573,FRESHWATER,1.8,2,2.2,4.19999999999999,c,0.105360515657826,0.200670695462151,0.847297860387201,99.9999999999995
HLH575,FRESHWATER,0.45,0.55,0.5,0.55,g,0.200670695462152,0.105360515657827,0.200670695462152,-11.1111111111112
HLH576,FRESHWATER,1.3,1.2,0.9,1,h,-0.0800427076735361,-0.367724780125317,-0.262364264467491,15.3846153846153
HLH577,FRESHWATER,3.8,4.49999999999998,3.7,3.75,g,0.16907633004393,-0.02666824708216,-0.0132452267500201,-17.1052631578943
HLH578,FRESHWATER,9.00000000000001,10.5,11,27.9999999999999,c,0.15415067982726,0.20067069546215,1.13497993283898,172.222222222221
HLH579,FRESHWATER,1.6,3.8,2,3.8,a,0.864997437486604,0.223143551314209,0.864997437486604,-24.9999999999999
HLH580,FRESHWATER,2.7,3.8,2.4,2.7,a,0.341749293722057,-0.117783035656383,0,-29.6296296296297
HLH581,FRESHWATER,2.1,8.20000000000002,3.7,6.30000000000002,f,1.36219680954083,0.566395474920803,1.09861228866811,-166.666666666667
HLH582,FRESHWATER,2.1,3.59999999999998,2.2,6.6,b,0.538996500732683,0.0465200156348931,1.145132304303,138.095238095239
HLH583,FRESHWATER,20,25,20.9999999999999,27.9999999999999,g,0.22314355131421,0.0487901641694299,0.33647223662121,9.99999999999973
HLH584,FRESHWATER,1,1.25,0.7,1.45,h,0.22314355131421,-0.356674943938732,0.371563556432483,50
HLH585,FRESHWATER,9.00000000000001,10,10,17.0000000000001,c,0.10536051565783,0.10536051565783,0.63598876672,66.6666666666666
HLH586,FRESHWATER,0.6,1.15,0.65,1.3,a,0.65058756614115,0.080042707673537,0.773189888233482,16.6666666666666
HLH587,FRESHWATER,1.3,1.7,0.7,1.3,h,0.268263986594679,-0.619039208406223,0,15.3846153846154
HLH588,FRESHWATER,1.3,2.1,1.7,3.2,b,0.479573080261886,0.268263986594679,0.900786545338189,53.8461538461538
HLH589,FRESHWATER,9.04761904800001,8.38095238200001,7.761904762,10.714285714,c,-0.0765400770394399,-0.15327387138356,0.16907632997516,39.9999999867367
HLH590,FRESHWATER,14.309523809,14.0476190480001,14.6428571430001,13.666666667,g,-0.0184723975717102,0.0230273333176795,-0.0459655381546403,-4.99168053762138
HLH591,FRESHWATER,9.48979591900004,12.183673469,15.3061224500001,15.428571428,a,0.24987970770675,0.478035800943,0.48600397048847,-27.0967741977635
HLH592,FRESHWATER,2.85,5.95000000000001,1.67,4.97000000000001,h,0.73607222527698,-0.534495367851896,0.55610084582798,7.01754385964934
HLH593,FRESHWATER,0.0479999999999998,0.0180000000000001,0.01,0.205,h,-0.980829253011719,-1.56861591791384,1.45180896823052,468.750000000001
HLH594,FRESHWATER,2.0999999999999e-05,8.99999999999959e-06,1.1e-05,1.80000000000002e-05,h,-0.847297860387199,-0.646627164924999,-0.154150679827199,90.4761904761926
HLH595,FRESHWATER,0.01468,0.0159999999999999,0.0289200000000001,0.0573999999999998,b,0.0861026990534102,0.6780473741042,1.36355828013915,185.0136239782
HLH598,FRESHWATER,6.99999999999998,7.2,30.5000000000001,59,b,0.0281708769667001,1.47181653455806,2.13162729485041,404.285714285714
HLH601,MARINE,79784448.0299982,266980089.800003,133410066.599998,302655036.700001,e,1.2078454869616,0.514098993782799,1.3332650655742,-22.4989607789894
HLH602,MARINE,98426842.9799981,2738792517.00011,438494165.500016,3732553758.00011,d,3.325958853656,1.4940329447678,3.6355343706201,664.141913616812
HLH603,MARINE,7241045.71999967,124309259.8,7174241.87300034,52273446.9799992,h,2.8430068588855,-0.0092685386682999,1.9767229037855,-993.903529351069
HLH604,MARINE,306914820.100013,314364085.499988,366733221.300013,437559686.60001,g,0.0239815720291007,0.178064416152598,0.354642872875999,20.6497685186298
HLH605,MARINE,26947043.3400003,80556409.9900006,34854039.7600012,98235377.8000015,a,1.095084101989,0.257295466750801,1.2934928309649,36.2636125481508
HLH606,MARINE,37222804.8199989,100990701.7,20132366.8200002,166465986.599995,h,0.9981068439801,-0.614592796755702,1.4978693976199,221.814888209695
HLH619,FRESHWATER,9.156656746,8.67475114500002,36.6265424199999,50.6024344800001,b,-0.0540644890358802,1.38629205230511,1.70951855938702,157.893847744331
HLH620,FRESHWATER,9.31679298299995,8.94413743999997,46.2111920000001,44.72050995,a,-0.0408201859238697,1.60140355088705,1.5686137630123,-12.0001218127326
HLH621,FRESHWATER,9.54840179600005,9.03228177100002,18.8387274900001,27.3548494599999,b,-0.0555687659565901,0.67954093458978,1.05252003501828,94.5942806762027
HLH622,FRESHWATER,6.96775723400001,6.45163819300002,29.1612996299999,25.8064636399999,h,-0.0769593168467701,1.43154907626035,1.30933159041569,-40.7407556501553
HLH623,FRESHWATER,1.833333333,1.75,2.416666667,2.916666667,g,-0.0465200154530742,0.276253376947908,0.464305608427203,31.8181818057852
HLH624,FRESHWATER,1.833333333,3.33333333300001,3.83333333300001,3.8,f,0.597837000837443,0.737598943225643,0.728865263343843,-83.6363636333896
HLH625,FRESHWATER,0.694444444,0.694444444,0.555555556,1.111111111,c,0,-0.22314354987421,0.470003629785735,79.9999999711999
HLH635,FRESHWATER,0.066666667,0.066666667,0.466666667,0.626666667,b,0,1.9459101447696,2.24070968480787,239.9999988
HLH636,FRESHWATER,5.15463917500001,5.97938144299999,4.43298969100002,8.76288659800002,c,0.14842000511827,-0.15082288962179,0.53062825111923,68.0000000000003
HLH637,FRESHWATER,4.639175258,7.21649484499999,5.97938144299999,6.70103092800003,h,0.44183275217126,0.25378052066832,0.36772478009216,-39.9999999741322
HLH638,FRESHWATER,1.818181818,1.636363636,12.72727273,15.4545454499999,b,-0.105360515780048,1.9459101493696,2.14006616330215,159.999999625996
HLH639,FRESHWATER,0.515463918,0.103092784,8.24742267999996,9.27835051500002,h,-1.6094379085541,2.77258872126978,2.89037175692617,279.999999728411
HLH640,FRESHWATER,10.66666667,9.333333333,10.66666667,9.333333333,g,-0.13353139297274,0,-0.13353139297274,0
HLH641,FRESHWATER,11.81818182,15.81818182,10.90909091,14.5454545500001,g,0.29152084872004,-0.0800427077440502,0.2076393649369,-3.07692304567972
