name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Edyuillia athecia,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Aspergillus fumigatus,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0
Chromocleista malachitea::Penicillium janthinellum::Penicillium sp::Eupenicillium javanicum::Aspergillus candidus,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Penicillium decumbens::Penicillium expansum::Eupenicillium javanicum,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0
Eupenicillium crustaceum::Penicillium janthinellum::Penicillium expansum::Penicillium roqueforti::Penicillium camemberti,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Isaria fumosorosea::Isaria javanica::Verticillium insectorum::Verticillium leptobactrum,1,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0
Trichosporon porosum::Trichosporon sp::Papiliotrema bandonii,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Monascus fuliginosus,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Aspergillus restrictus,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Penicillium olsonii,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
Phialosimplex chlamydosporus::Eupenicillium sp::Penicillium sp,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Penicillium janthinellum::Penicillium sp::Eupenicillium javanicum::Aspergillus candidus,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Gloeophyllum sepiarium::Lentinus sp::Gloeophyllum striatum::Gloeophyllum subferrugineum::Gloeophyllum trabeum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Penicillium janthinellum::Aspergillus sp::Penicillium sp::Eupenicillium javanicum::Aspergillus candidus,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
